Patología,Medicamentos,Observaciones,Acciones
Queratitis Actinica ocular,"Cubrir ojo 24 hrs. Cloranfenicol CAF 1% ungüento oftálmico. Uso: 1 a 1.5 cm en las noches por 7 días. Ciprofloxacino 3.5 gr ungüento oftálmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. NC: Cirpodex (Ciprof/Dexa) Tobramicina 0.3 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el día por 7-10 días. NC: Xolof, Tobradex Lagrimas artificiales por 15 días.","Ojo rojo profundo del soldador, por radiación. Fotofobia, dolor bilateral, epifora. % Radiación UV, Irritación por calor, Soldadores, Bronceador UV. En niños control con Pediatría en 24-48 hrs.",
Queratitis herpetica,"Aciclovir 3% oftálmico. Uso: 1-2 gotas, c 4 hrs al dia (5 veces) por 5-7 días. NC: Oftavir. Aciclovir 200-400 mg. DI: 400 mg, 5 veces al dia por 5-7 días. Valacivlovir 500mg. DI: 1 gr c 8 hrs por 5-7 dias. Lagrimas artificiales, hipromelosa 0.7%, solución oftálmica. Uso: 1- 2 gotas en cada ojo, cada 8-12 hrs al día o según necesidad. (i) Derivar a Oftalmólogo en 24-48 hrs.","(i) Pedir: Tinción con Fluoresceína (Ulceras dendríticas verde) Recurrencias: Vesículas agrupadas en parpado, siempre descartar Queratitis herpética, tratamiento oral y tópico. % Virus herpes simplex tipo 1 (VHS 1) (i) El ungüento deberá situarse en el lado interno del saco conjuntival inferior y se recomienda mantener el ojo cerrado durante 30 seg después de la aplicación. (i) Derivar a Oftalmólogo en 24-48 hrs.",
Queratitis infecciosa,"(*) Cloranfenicol CAF 0.5 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el día por 7-10 días. (*) Cloranfenicol CAF 1% ungüento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. Ciprofloxacino 0.3 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el dia por 7-10 dias. NC: Ciproval Ciprofloxacino 3.5 gr unguento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. NC: Cirpodex (Ciprof/Dexa) Tobramicina 0.3 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el día por 7-10 días. NC: Xolof, Tobradex","Precedida de conjuntivitis u otra infección ocular, lentes de contacto. % Staf. Aureus, otras G (-) Pedir: tinción con Fluoresceína, descartar Q. Herpética.",
Queratitis por lentes de contacto,"Tobramicina 0.3 % solución oftálmica. Uso: 1-2 gotas cada 2-4 horas en el día por 7-10 días. NC: Xolof, Tobradex Derivar a Oftalmólogo.",(i) Derivar a especialista con tratamiento topico. % Gram (-) por mal uso de lentes de contacto.,
Queratitis Punctata o seca,"Lagrimas artificiales, hipromelosa 0.7%, solución oftálmica. Uso: 1- 2 gotas en cada ojo, cada 8-12 hrs al día o según necesidad. Derivar a Oftalmología.","Ulceras puntiformes, por Xeroftalmia. Pedir: Tinción con Fluoresceína. % Parálisis facial (VII), Sjögren. (i) Cuidando de no tocar el ojo con la punta del gotario. En caso de usar lentes de contacto, aplicar unas gotas al lente antes de su uso.",
Queratosis Actinica,"(*) Qx: Crioterapia con Especialista: Dermatólogo o Cirujano. (ac) Imiquimod 5% tópico. Uso: cada 12 hrs, previo lavado. 5-fluorouracilo.","% Sol. Tumor de piel pre maligno. Placa roja descamativa, muy áspera. En zonas expuestas al sol, manos, brazos, orejas y cuero cabelludo. (i) Riesgo de Cáncer Espinocelular.",
Queratosis Pilar o Pilaris,"(*) MG: Bloqueador solar - Crema Humectante!! (ac) Betametasona crema tópica. Uso: cada 12 hrs. (ac) Clobetasol 0,05% creama topica. Uso: cada 12 hrs dia. (ac) Cetirizina 10 mg. DI: 10 mg al dia en caso de prurito. Loratadina 10 mg. DI: 10 mg al dia en caso de prurito. Clorfenamina 4 mg DI: 4 mg cada 8 horas, en caso de prurito.","% Atopia. Signo de Atopia: ""piel de gallina"" Pápulas eritematosas puntiformes múltiples, en brazos generalmente. Asociado a piel seca, prurito local.",
Queratosis seborreica,(*) MG: Observar + Uso de Bloqueador Solar. Qx: Derivar a Dermatología o Cirugía en caso estético.,"% Sol. Fotodaño. Placa o tumor, hiperpigmentado, suave, blando de consistencia “untuoso”. Similar a los llamados ""lunar de carne"".",
Quiste de Epididimo,"MG: Observar. Qx: Resección de quiste, solo en caso de intenso dolor y molestias severas. + Paracetamol 500 mg comprimidos. DI: 1-2 comprimidos cada 8 hrs, en caso de Dolor.",% Quiste epididimo u otro quiste son benignos. Dg: Ecografía testicular: aspecto quístico a nivel del epidídimo. (i) No es necesario pedir Marcadores tumorales.,
Quiste de Esmegma adultos,Qx Drenaje de Quiste de esmegma,(i) Normal solo en niños.,
Quiste de Esmegma niños,(*) MG: Observar y tranquilizar a madre. Mantener buen aseo. Qx Drenaje Quiste esmegma en caso de complicaciones.,(i) Normal hasta mas de los 4 años. Complicaciones: Balanopostitis.,
Quiste Dermoides,"MG: Observar Qx por Cirujano o Dermatólogo: en caso de ser grande o infectado (+ ATB Cloxacilina 500 mg/Cefazolina 1gr-500mg, EV-VO)","% Congénito (puede crecer, no todas se evidencian). Nódulo, sin poro, liso, blando, móvil. En zonas de la cara (nódulo de cola de ceja o piso de boca).",
Quiste epidermico o epidermoides,(*) MG: Observar. Drenaje o Qx por Cirujano o Dermatologo: en caso de ser grande o infectado (+ ATB Cloxacilina 500 mg/Cefazolina 1gr EV-500 mg VO),"% Idiopático. ""Quiste de piel muerta"" Nódulo con poro central, al presionarlo da salida a sebo - blanco.",
Quiste renal simple,MG: Observar,No importa el tamaño. Ecografia renal cada 6 meses.,
Reaccion Psiconeurotica - Crisis Histeria - Tranquilizante de urgencia,"Diazepam 10 mg/2ml ampolla. DI: 10 mg IM o EV, seguido de 5mg EV en 3-4 hrs.  (RR)",Receta Retenida.,
Recidivas de Calculo renal - Fase 3 Litiasis,(*) Tomar 1 vaso de agua cada 8 horas. Dieta baja en carne y frutos secos: si es HiperOxaluria Hidroclorotiazida 50 mg. DI: 12.5-25 mg dia. | DMx:100 mg c 12 hrs: Si es Hipercalciuria,Estudiar analisis químico del calculo. (i) Hipercalciuria es la mas frecuente; dar HCTZ (diuretico) (i) en caso de estar asociado a ITU (estruvita- coraliformes % Proteus Mirabilis); tratar con ATB VO.,
Reflujo Gastroesofagico RGE - Pirosis y Regurgitacion.,"MG: Comida, Higiene del sueño, evitar consumo de alcohol y BZD. (*) Omeprazol 20 mg.  DI: 20 mg al día, 30 min antes de comer. (ac) Omeprazol 40 mg SNG.  DI: 1 amp por SNG al dia. Lansoprazol 30 mg. DI: 30 mg al dia, 30 min antes de comer. Esomeprazol 20-40 mg.  DI: 20 mg al día.   DMx: 40 mg al dia.  NC: Zomel Famotidina 40 mg. DI: 20 mg cada 12 hrs VO.  DMx: 80 mg dia. Ranitidina 50 mg/2 ml EV. DI: 1 amp cada 8 hrs. Qx: Antireflujo, en Barret con displasia, jóvenes refractarios a tratamiento médico, o muy sintomáticos. (*) PHmetría de 24 horas: Pedir si es Atípica o duda diagnóstica. Endoscopia digestiva alta: Pedir si hay banderas de alarma.","% Relajación transitoria del Esfínter Esofágico Inferior. Dg: Clínica típica: Pirosis, regurgitación. Atípica: Tos, asma, Voz ronca, Caries. (i) Atípica o Ante duda pedir pHmetría de 24 horas (Gold Standard) Endoscopia digestiva alta (EDA): Esofagitis. Pedir ante banderas de alarma. (i) IBP: 30 min antes de comer, no exponer al sol.",
Reflujo Vesicoureteral (RVU),"MG: Observar, leve: Grado 1 - 2 a UCG. Profilaxis ATB por 1 año, si hay ITU Recurrente (*) Qx: Reimplante Vesico Ureteral, grave, sobre o igual al grado 3 a UCG o Ecografia renal.","Clínica: ITU alta (PNA), ERC post renal por ITU y presión que atrofia y dilata. Pedir: UCG y Ecografia renal. Grado 1 - 2 : Leve, Sin dilatacion, solo se ve al UCG. Grado 3-6 : Grave, Con dilatacion de ureter, se ve desde Eco renal y UCG (gold standar).",
Relajante muscular,Ciclobenzaprina 10 mg.    DI: 5-10mg c 12 hrs -  DMx: 10 mg c 8 hrs,Evitar en menores de 15 años.,
Resistencia a la Insulina (RI),"MG: Dieta baja en azúcar, Ejercicio. Metformina 500 mg comprimidos. DI: 1 comprimido al dia. DMx: 2 cada 8 hrs. (3 gr/ dia)","Dg: Glicemia de ayuno x Insulina basal / 405, VN: < 2.6",
Respirador bucal obstructivo,"Manejo según causa. Evaluar respiración con boca cerrada y espejo bajo nariz. Radiografía de Cavum IC a Fonoaudiología, Otorrinolaringólogo, según caso.","% Rinitis alérgica, Hipertrofia de adenoides, tumor via respiratoria superior, polipo nasal. Hiperlaxitud Sd marfan, Mal habito.",
Retencion Urinaria Aguda (RUA) - Globo vesical,"(*) Sonda Foley a permanencia, instalar con técnica Estéril. Qx abierta de 2da instancia según causa. Qx, Cistostomia; en sección uretral, o no paso de S. Foley por uretra.","Complicación de UOB. %HPB, luego Ca. Próstata. Dg: Clínico (triada) Dolor abdominal, Imposibilidad de Orinar, Globo vesical. (i) No dejar Sonda Nelaton. Post Qx abierta evaluar retiro de S.Foley. (i) Sospechar: sección uretral (Fx pelvis + Uretrorragia).",
Retinoblastoma - Cáncer ocular niños.,Hacer fondo de ojo y rojo pupilar Derivar a Oftalmólogo Pediátrico ante sospecha. Manejo por Especialista QTx - RxT - Qx,"Leucocoria (pupila blanca), Proptosis o Exoftalmo unilateral, Estrabismo (avanzado). (i) Sobre 3 meses Dg: Clínico, alteracion rojo pupilar. Riesgo de recurrencia u otros cáncer. Mejor pronóstico si es de precoz diagnostico.",
Retinopatia del Prematuro - RPMT,"Observar y controles semanales con fondo de ojo; Zona periférica, etapa baja. Derivar a Oftalmología - Pediátrica Qx: Fotocoagulación vs Vitrectomía.","AUGE - GES Screening universal: Fondo de ojo a todo prematuro < 32 sem EG, o < 1.500 gr al nacer. (i) Manejo segun Zona y Etapa de daño. Zona 1-3 (central-periferica), Etapa (leve-desprendimiento) Riesgo: desprendimiento de retina y ceguera.",
Retinopatia del Prematuro - RPMT,"Observar y controles semanales con fondo de ojo; Zona periférica, etapa baja. Derivar a Oftalmología - Pediátrica Qx: Fotocoagulación vs Vitrectomía.","AUGE - GES Screening universal: Fondo de ojo a todo prematuro < 32 sem EG, o < 1.500 gr al nacer. (i) Manejo segun Zona y Etapa de daño. Zona 1-3 (central-periferica), Etapa (leve-desprendimiento) Riesgo: desprendimiento de retina y ceguera.",
Retinopatia Diabetica Proliferativa - RDP,Qx: Foto-coagulación por Oftalmologo.,"Fondo de ojo; Vasos de neoformación (RDP). Riesgo de Hemorragia vitrea. (i) RDNP: retinopatía diabetica no proliferativa; fondo de ojo con exudado sereos, micro aneurisma/hemorragia, exudado algodonoso (micro infarto).",
Retinopatia Hipertensiva (HTA),"Hacer Fondo de ojo. Derivar a Oftalmología (quien decide manejo) MG: Observar, si es leve. Qx Vitrectomia en casos graves.","Fondo de ojo; Disminución cruces arterio -venoso. Brillo arteriolar (hilos de cobre - plata), Hemorragia en llama (ruptura de micro aneurisma). Junto a alteración similar a RDNP.",
Rinitis Alergica - Estacional - Perenne,"(*) Mometasona Intranasal. Uso: 1-2 puf en cada fosa nasal al dia en la mañana.   NC: Nasonex, Rinoval, Monez, SynAller. Cetirizina 10 mg. DI: 10 mg al dia. Loratadina 10 mg. DI: 10 mg c 12 hrs. Nastizol comprimidos.  DI: 1 comprimido c 8 hrs, por 3 dias.",(i) Hidratacion abundante. (i) Sobre 2 años. (i) 2 y 4 semanas antes del comienzo estimado de la temporada de polinización.,
"Rinofaringitis viral, resfrio comun. /Adultos",Paracetamol 500 mg. 1 c 8 hrs en caso de dolor. Ibuprofeno 600 mg. 1 c 8 hrs en caso de dolor. (*) Paracetamol/Clorfenamina/Pseudoefedrina. DI: 1 comp c 8 hrs por 3-5 dias. NC: Nastizol compu. Pseudoefedrina/Desloratadina.   DI: 1 comp 12 hrs.    NC: Franeler D (ac) Noscapina/Clorexidina.   DI: 1 comp c 6 hrs por 3 dias.  NC: AB antitusivo (ac) Cetirizina 10 mg.    DI: 10 mg al dia. Loratadina 10 mg.   DI: 10 mg cada 12 hrs.,(i) Hidratacion.,
"Rinofaringitis viral, resfrió en niños - Bronquitis Aguda catarral (No obstructiva)","(*) Paracetamol jarabe 120-160 mg / 5 ml    DP: 15 – 20 mg/kg/dosis cada 8 hrs.  NC: Kitadol infantil. Panadol. (*) Cetirizina 10 mg/5ml jarabe. DP: 6m-2a: 2.5mg dia. | 2a-5a: 5mg dia | +5a: 10 mg dia. Loratadina/Pseudoefedrina Jarabe. DP: 3-5a: 5 ml c 12h / 6-12a: 5-10 ml c 12 h.   NC: Franeler D Paracetamol gotas.     DP: 3-5 gotas por kg, cada 8 hrs.  NC: Kitadol gotas, Panadol gotas. Paracetamol 125 mg Sup. Infantil  DP: 1 cada 8 hrs. Ibuprofeno jarabe 100-200mg /5ml   DP: 10 mg /kg/dosis c 8 hrs. Clorfenamina 2.5mg/5ml jarabe.   DP: 0.1 mg / kg /dosis cada 8 hrs.  (i) evitar en -2a.  NC: Prodel Loratadina 5mg/5ml jarabe DP:  1-12 kg: 2.5 mg dia. |12-30 kg: 5 mg dia. | >30 kg: 10 mg día. Desloratadina 2.5 mg/5ml.  DP: 0.1 mg / Kg/ dia. Levocetirizina 2.5mg/5ml jarabe. DP: 6m-5a: 1.25mg dia | 5a-11a: 2.5mg dia | +12a: 5mg dia. SF Intranasal.  Uso 2 puff cada fosa nasal para Aseo nasal 4 veces al dia. NC: Fisiolimp.","(i) No jardín por 5 días. Hidratacion, aseo nasal.",
Riñon en herradura - en L - Ureter Doble.,MG: Observar y tranquilizar.,Variante anatómica. No considerado como malformación urologica.,
Riñon Poliquistico,Tratamiento ERC,,
Rosacea,"(*) MG: Bloqueador UV, Alejarse de fuentes de calor, Dieta sin aliños, no Alcohol. (*) Metronidazol 0,75% crema. Uso: cada 12 hrs por 1 - 2 meses. Tacrolimus tópico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. Doxiciclina 100 mg. DI: 100 mg c 12 hrs VO. (casos mas graves o no rpta) (ac) Brimonidina topico. Uso: 1 vez al dia. Manejo transitorio. NC: Mirvaso. + Control con Oftalmología anual para control de Rosácea Ocular. + Nutricionista para manejo de alimentación a evitar.","% Idiopática, Demodex (ácaro). Etapas: Eritema y Telangiectasia facial, Pápulas o Pústulas, en mejillas no respeta surco nasogeniano. Rinofima (avanzado). Complicaciones oculares: Blefaritis, Chalazión, Queratitis, Uveítis en casos graves. (i) Tacrolimus si falla Metronidazol. (i) Brimonidina es solo Estético; para manejo transitorio.",
Rosacea Fimatosa,"(*) Qx Láser por Dermatología - Cirugia Estetica. MG: Uso de bloqueador solar, Alejarse de fuentes de calor, Alimentos sin condimentos, ni alcohol. + Control Oftalmológico anual por riesgo de Rosácea Ocular.","Complicación cutánea: Rinofima ""nariz de frutilla o fresa"".",
Sarcopenia - Atrofia muscular,"(*) MG: Ejercicio físico Alimentación adecuada, consumo de proteínas.","% Adulto mayor, Sedentario. Riesgo: Inmovilidad, Postracion, Caidas, Fx de caderas, Muerte. Evaluar fuerza EEII ""de pie y caminar"" / EESS ""presion palmar"".",
Score de Tal - SBO,"FR: =< 30 = 0 pts , > 30 = 1 pt , > 45 = 2 pts , > 60= 3 pts. FR (Menor de 6 meses): =< 40 = 0 pt,  > 40 = 1 pt , > 55= 2 pts, >70= 3pts. Uso de musculatura Accesoria: No Uso= 0 pts, Subcostal= 1 pto, Intercostal= 2 pts, Tiraje cervical= 3 pts. Cianosis: No tiene=0 pt, Perioral con llanto=1 pto, Perioral constante=2 pts, Generalizada= 3 pts. Sibilancia: No tiene=0 pts, Espiratoria=1 pto, Esp/+Inspiratoria=2 pts, Audibles a distancia o silencio pulmonar grave= 3 pts.",- Leve 0-5 pts - Moderado 6-8 pts - Severo 9-12 pts - MUY SEVERO: 11-12 pts = hospitalizar. (i) Frecuencia respiratoria en menores de 6 meses es +10 rmp.,
Seminoma - Cancer Testicular con AFP (-),Radioterapia Retroperitoneal profiláctica: en caso de TAC localizado. Quimioterapia: en caso de TAC con Metástasis. (buen pronóstico),"Dg: Biopsia testicular. Pedir: TAC de tórax abdomen y pelvis, para etapificación (localizado vs Metástasis). Marcadores tumoral: HCG (Gonadotropina coriónica humana) (i) Seminoma con AFP (+) : Tratar como NO seminoma.",
Seminoma con AFP (+) - Cancer testicular.,"Qx Linfo adenectomia lumbo-aortica (Qx LALA), en caso de TAC Localizado. Quimioterapia: en caso de TAC con Metástasis.","(i) Manejo como No seminoma. Solicitar TAC de torax, abdomen y pelvis (localizado vs Metastasis). AFP: alfa feto proteina, marcador de No seminoma.",
Sequedad vaginal,"(*) Lubricante intimo en cada relación sexual.  NC: Yes, Durex Play. (ac) Estrógeno 0.0625% tópico, 2da linea, ayuda también a la atrofia. NC: Conpremin.",Sequedad en mujeres post menopausia. Dispareunia por sequedad vaginal.,
Sifilis 1a Primaria - Chancro sifilitico,(*) Penicilina Benzatina 1.200.000 UI. DI: 2.4 M IM x 2 veces (1 por semana). (ac) Doxicilina 100mg. DI: 100mg VO cada 12 hrs por 14 dias. (alergia a PNC) Eritromicina 500mg. DI: 500 mg c 6 hrs por 7 dias. (alergia a PNC) Azitromicina 500 mg. DI: 1 gr Dosis Unica. (alergia a PNC) Ceftriaxona 1 gr ampolla. DI: 1 gr EV (alergia a PNC),"Dg: Clínico con el Chancro: Lesión ulcera unica, indolora, indurada, limpia. - Apoyo pedir: Microscopio de campo oscuro. (i) Control 3 - 6 - 9 - 24 meses con VDRL-RPR (No treponemicas). Confirmar con FTA-ABS o MHA-TP (Treponemicas) (i) si es VIH + deben ser por 3 semanas Penicilina B.",
Sifilis 2ria secundaria - Sistemica - Exantema (Palmas y Plantas),(*) Penicilina Benzatina 1.200.000 UI. DI: 2.4 M IM x 2 veces (1 por semana). (ac) Doxiciclina 100 mg.  DI: 100 mg VO cada 12 hrs por 14 días. (alergia a PNC) Eritromicina 500 mg. DI: 500 mg c 6 hrs por 7 días. (alergia a PNC) Azitromicina 500 mg. DI: 1 gr Dosis Única. (alergia a PNC) Ceftriaxona 1 gr ampolla. DI: 1 gr EV (alergia a PNC) (*) Buscar otras ETS.,"% Treponema Pallidum. Screening: VDRL o RPR. Confirmar: FTA-ABS o MHA-TP. (i) Pedir: VIH, VHB y VHC. Clínica: Fiebre, Exantema eritematoso y descamativo generalizado, y Afecta a Plantas y Palmas. (i) Alergia a PNC: dar Macrólidos o Ceftriaxona. (i) Control 3 - 6 - 9 - 24 meses con VDRL-RPR (No treponémicas). Confirmar con FTA-ABS o MHA-TP (Treponémicas) (i) si es VIH + deben ser por 3 semanas Penicilina B.",
Sifilis 3ria Terciaria,(*) Penicilina Benzatina 1.2 Millon UI. DI: 2.4 Millon UI IM x 3 veces (1 por semana). (ac) Doxicilina 100mg. DI: 100mg VO cada 12 hrs por 30 dias. (alergia a PNC) Eritromicina 500mg. DI: 500 mg c 6 hrs por 7 dias. (alergia a PNC) Azitromicina 500 mg. DI: 1 gr Dosis Unica. (alergia a PNC) Ceftriaxona 1 gr ampolla. DI: 1 gr EV (alergia a PNC),"Terciaria: Goma sifilitica, Tabes Dorsal, Aneurisma Aortico. Latente: Asintomatica. Pedir: VDRL - RPR , luego confirmar FTA - ABS o MHA-TP. Pedir: Liquido Cefaloraquideo LCR",
Sindrome Alterno - ACV Troncoencefalo,"RNM - TAC de cráneo sin contraste: confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.",Compromiso cualquier nervio craneal ipsilateral + Hemiparesia o Hipoestesia contralateral.,
Sindrome Bronquial Obstructivo Leve - Bronquitis Obstructiva Leve - SBO,"(*) Salbutamol 2 puff con AEC, evaluar. Alta médica con indicaciones: Reposo relativo; Certificado para Jardin por 5 dias. Alimentación a tolerancia, abundante liquidos (agua, Lactancia materna). Control de Temperatura cada 8 horas. - Salbutamol 2 puff cada 6 horas por 7 dias con AEC - Paracetamol 15 mg/kg/dosis cada 8 hrs, Solo en caso de fiebre. - (ac) Ibuprofeno 10 mg/kg/dosis cada 8 hrs, Solo en caso de fiebre. Consultar al Servicio de Urgencia: Fiebre > 38.5ºC que no cede, Dificultad respiratoria, Rechazo alimentario. Medidas de higiene y prevencion de contagio, Evitar cigarro en casa.",Leve: 0- 5 puntos en Score de Tal. % VRS (i) Kinesioterapia respiratoria: Derivar a sala IRA: Si hay > 3 episodios en 1 año.,
Sindrome Bronquial Obstructivo Moderado - Bronquitis Obstructiva Moderada - SBO,"(*) Salbutamol 2 puff cada 10 min con AEC, por 1 hora. (1a hora) Kinesioterapia Respiratoria. Post 1 hora reevaluar paciente con Score de Tal. Salbutamol 2 puff cada 10 min con AEC por 1 hora (2da hora) (*) Prednisona 2 mg/kg/dosis VO Post 1 hora reevaluar con Score de Tal (*) Hospitalizar (*) Oxígeno alto flujo Salbutamol 2 puff cada 10 min con AEC Prednisona 2 mg/kg/dosis VO","% VRS Score de Tal: 6-8 pts (i) Reevaluar cada 1 hora, Hospitalización Abreviada. Alta post 1a hora: Control en 24 hrs en Sala IRA. Alta post 2da hora: Control en 24 hrs en Sala IRA + Corticoide VO por 5 días.",
